BGGId,Name,Rating_2021,Rating_2025,rating_change
150658,Pandemic: The Cure,7.01134,6.91439,-0.09694999999999965
25417,BattleLore,7.01087,6.91707,-0.09379999999999988
137408,Amerigo,7.00836,6.91886,-0.08950000000000014
62222,Commands & Colors: Napoleonics,7.0073,6.96586,-0.0414399999999997
251658,Sprawlopolis,7.00579,6.97263,-0.03316000000000052
372,Schotten Totten,7.00475,7.06407,0.05932000000000048
5404,Amun-Re,7.00409,6.92388,-0.08021000000000011
230914,Carcassonne Big Box 6,7.00097,7.14013,0.1391600000000004
157969,Sheriff of Nottingham,7.00049,6.91437,-0.0861200000000002
150,PitchCar,6.99936,6.97011,-0.02925000000000022
146791,Shadows of Brimstone: City of the Ancients,6.99704,6.89156,-0.10548000000000002
128996,1775: Rebellion,6.99694,6.88353,-0.11341000000000001
17226,Descent: Journeys in the Dark,6.99566,6.9037,-0.09196000000000026
83330,Mansions of Madness,6.99503,6.91171,-0.08331999999999962
712,Blood Bowl (Third Edition),6.995,6.90171,-0.09329000000000054
194607,Mystic Vale,6.99287,6.93311,-0.05975999999999981
136063,Forbidden Desert,6.99129,6.91692,-0.07437000000000005
262543,Wavelength,6.98793,6.98076,-0.007170000000000343
177639,Raptor,6.98744,6.89206,-0.09538000000000046
123123,BattleCON: Devastation of Indines,6.98479,6.81022,-0.17457000000000011
62227,"Labyrinth: The War on Terror, 2001 – ?",6.98221,6.88741,-0.09480000000000022
